frequency	letter
4.83	73301
2.0	76092
4.5	76542
4.0	77373
4.0	77401
3.0	77429
5.0	78006
5.0	78202
1.0	78213
5.0	78227
3.75	78602
3.23	78610
4.0	78612
3.39	78613
3.59	78617
3.86	78619
3.8	78620
4.5	78624
4.0	78630
4.03	78640
3.94	78641
3.48	78645
4.5	78646
4.3	78652
3.26	78653
3.75	78654
3.41	78660
3.5	78662
4.5	78663
3.41	78664
3.83	78665
2.5	78666
4.08	78669
4.07	78676
3.46	78681
3.0	78682
3.0	78683
4.5	78691
4.5	78700
3.8	78701
4.11	78702
3.82	78703
3.92	78704
3.73	78705
3.44	78712
3.0	78713
5.0	78715
3.42	78717
2.95	78719
4.67	78720
3.33	78721
3.99	78722
3.66	78723
3.69	78724
4.83	78725
3.47	78726
3.46	78727
3.68	78728
3.52	78729
3.83	78730
3.57	78731
3.5	78732
4.28	78733
3.61	78734
3.77	78735
4.17	78736
3.75	78737
3.61	78738
3.88	78739
3.35	78741
4.0	78742
3.65	78744
3.66	78745
3.67	78746
4.06	78747
3.37	78748
3.38	78749
3.55	78750
3.75	78751
3.6	78752
3.6	78753
3.37	78754
3.95	78756
3.75	78757
3.66	78758
3.6	78759
2.0	78766
4.5	78767
2.0	78768
3.62	78798
2.5	78799
4.0	79748
3.4	95000
